Education,Education-Num,Matrital-Status,Native-Country,Occupation,Race,Relationship,Sex,Workclass,Age,Capital-Gain,Capital-Loss,Fnlwgt,Hours-Per-Week,Number of Records
Bachelors,13,Never-married,United-States,Exec-managerial,Amer-Indian-Eskimo,Own-child,Female,Private,34,0,0,79637,40,1
HS-grad,9,Never-married,United-States,Handlers-cleaners,Amer-Indian-Eskimo,Own-child,Female,Private,30,0,0,67187,8,1
10th,6,Never-married,United-States,Other-service,Amer-Indian-Eskimo,Own-child,Female,Private,17,1055,0,130125,20,1
11th,7,Never-married,United-States,Other-service,Amer-Indian-Eskimo,Own-child,Female,Private,17,0,0,99462,20,1
Some-college,10,Never-married,United-States,Prof-specialty,Amer-Indian-Eskimo,Own-child,Female,Private,21,0,0,83580,4,1
HS-grad,9,Never-married,United-States,Sales,Amer-Indian-Eskimo,Own-child,Female,Private,18,0,0,301867,20,1
HS-grad,9,Never-married,United-States,Sales,Amer-Indian-Eskimo,Own-child,Female,Private,19,0,0,29083,25,1
Some-college,10,Never-married,United-States,Sales,Amer-Indian-Eskimo,Own-child,Female,Private,19,0,1721,243941,25,1
Assoc-voc,11,Divorced,United-States,Prof-specialty,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov,42,0,0,25240,40,1
Some-college,10,Divorced,United-States,Tech-support,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov,37,0,0,33487,20,1
HS-grad,9,Divorced,United-States,Exec-managerial,Amer-Indian-Eskimo,Unmarried,Female,Local-gov,43,0,0,196308,40,1
Assoc-voc,11,Divorced,United-States,Protective-serv,Amer-Indian-Eskimo,Unmarried,Female,Local-gov,30,0,0,99502,40,1
HS-grad,9,Divorced,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Private,55,0,0,28735,45,1
Some-college,10,Divorced,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Private,39,0,0,19914,40,1
Assoc-acdm,12,Divorced,United-States,Machine-op-inspct,Amer-Indian-Eskimo,Unmarried,Female,Private,33,0,0,31449,40,1
HS-grad,9,Divorced,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Private,32,0,0,163530,40,1
HS-grad,9,Divorced,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Private,39,6849,0,106183,40,1
Assoc-acdm,12,Divorced,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Private,31,0,0,78602,40,1
HS-grad,9,Divorced,United-States,Prof-specialty,Amer-Indian-Eskimo,Unmarried,Female,Private,47,0,0,104068,40,1
HS-grad,9,Divorced,United-States,Sales,Amer-Indian-Eskimo,Unmarried,Female,Private,21,0,0,164991,38,1
HS-grad,9,Divorced,United-States,Sales,Amer-Indian-Eskimo,Unmarried,Female,Private,24,0,0,19410,48,1
Some-college,10,Divorced,United-States,Sales,Amer-Indian-Eskimo,Unmarried,Female,Private,30,0,0,299223,40,1
Some-college,10,Divorced,United-States,Protective-serv,Amer-Indian-Eskimo,Unmarried,Female,State-gov,38,0,0,31352,40,1
Some-college,10,Divorced,United-States,Protective-serv,Amer-Indian-Eskimo,Unmarried,Female,State-gov,46,0,0,363875,40,1
Some-college,10,Married-spouse-absent,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Private,39,0,0,78171,40,1
7th-8th,4,Married-spouse-absent,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Private,63,0,0,30602,40,1
Doctorate,16,Married-spouse-absent,United-States,Prof-specialty,Amer-Indian-Eskimo,Unmarried,Female,Private,42,0,0,31387,40,1
10th,6,Married-spouse-absent,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Self-emp-not-inc,19,0,0,30800,40,1
Some-college,10,Married-spouse-absent,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,State-gov,50,0,0,78649,40,1
Some-college,10,Never-married,United-States,?,Amer-Indian-Eskimo,Unmarried,Female,?,23,0,0,99399,25,1
Some-college,10,Never-married,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Local-gov,40,2977,0,50442,35,1
HS-grad,9,Never-married,United-States,Exec-managerial,Amer-Indian-Eskimo,Unmarried,Female,Local-gov,28,0,0,25864,35,1
Assoc-voc,11,Never-married,United-States,Exec-managerial,Amer-Indian-Eskimo,Unmarried,Female,Local-gov,40,0,0,108765,40,1
Some-college,10,Never-married,United-States,Handlers-cleaners,Amer-Indian-Eskimo,Unmarried,Female,Private,23,0,0,178207,35,1
HS-grad,9,Never-married,United-States,Machine-op-inspct,Amer-Indian-Eskimo,Unmarried,Female,Private,36,0,0,68089,40,1
HS-grad,9,Never-married,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Private,34,0,0,223678,32,1
Assoc-voc,11,Never-married,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Private,25,0,0,25386,40,1
HS-grad,9,Never-married,United-States,Protective-serv,Amer-Indian-Eskimo,Unmarried,Female,Private,28,0,0,44216,40,1
Some-college,10,Separated,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Local-gov,35,0,0,85548,40,1
HS-grad,9,Separated,United-States,Craft-repair,Amer-Indian-Eskimo,Unmarried,Female,Private,59,0,0,205949,40,1
Some-college,10,Separated,United-States,Exec-managerial,Amer-Indian-Eskimo,Unmarried,Female,Private,53,0,0,20438,15,1
HS-grad,9,Separated,United-States,Prof-specialty,Amer-Indian-Eskimo,Unmarried,Female,Private,37,0,0,25864,40,1
Some-college,10,Widowed,United-States,Exec-managerial,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov,43,0,0,19914,15,1
Some-college,10,Widowed,United-States,Prof-specialty,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov,58,0,0,30111,40,1
HS-grad,9,Widowed,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Local-gov,80,0,0,20101,32,1
7th-8th,4,Widowed,United-States,Other-service,Amer-Indian-Eskimo,Unmarried,Female,Private,68,0,0,121846,20,1
HS-grad,9,Widowed,United-States,Sales,Amer-Indian-Eskimo,Unmarried,Female,Private,42,0,0,152568,40,1
HS-grad,9,Widowed,United-States,Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,State-gov,61,0,0,130466,40,1
Assoc-voc,11,Married-civ-spouse,United-States,?,Amer-Indian-Eskimo,Wife,Female,?,27,0,0,129661,40,1
Assoc-voc,11,Married-civ-spouse,United-States,?,Amer-Indian-Eskimo,Wife,Female,?,37,0,0,102541,40,1
Bachelors,13,Married-civ-spouse,United-States,Exec-managerial,Amer-Indian-Eskimo,Wife,Female,Federal-gov,50,0,0,32801,40,1
10th,6,Married-civ-spouse,United-States,Other-service,Amer-Indian-Eskimo,Wife,Female,Federal-gov,28,0,0,24153,40,1
Masters,14,Married-civ-spouse,United-States,Exec-managerial,Amer-Indian-Eskimo,Wife,Female,Local-gov,43,0,0,216070,50,1
Assoc-acdm,12,Married-civ-spouse,United-States,Prof-specialty,Amer-Indian-Eskimo,Wife,Female,Local-gov,42,0,0,29075,40,1
Some-college,10,Married-civ-spouse,United-States,Adm-clerical,Amer-Indian-Eskimo,Wife,Female,Private,22,0,0,124940,44,1
Some-college,10,Married-civ-spouse,United-States,Adm-clerical,Amer-Indian-Eskimo,Wife,Female,Private,27,0,0,145784,45,1
Assoc-acdm,12,Married-civ-spouse,United-States,Adm-clerical,Amer-Indian-Eskimo,Wife,Female,Private,21,0,0,216070,46,1
10th,6,Married-civ-spouse,United-States,Farming-fishing,Amer-Indian-Eskimo,Wife,Female,Private,29,0,0,100405,40,1
1st-4th,2,Married-civ-spouse,Mexico,Machine-op-inspct,Amer-Indian-Eskimo,Wife,Female,Private,23,0,0,180771,35,1
HS-grad,9,Married-civ-spouse,United-States,Machine-op-inspct,Amer-Indian-Eskimo,Wife,Female,Private,31,0,0,264864,40,1
Some-college,10,Married-civ-spouse,United-States,Other-service,Amer-Indian-Eskimo,Wife,Female,Private,29,0,0,24153,40,1
Assoc-voc,11,Married-civ-spouse,Mexico,Other-service,Amer-Indian-Eskimo,Wife,Female,Private,31,0,0,395170,24,1
Some-college,10,Married-civ-spouse,United-States,Sales,Amer-Indian-Eskimo,Wife,Female,Private,21,0,0,75763,40,1
Prof-school,15,Married-civ-spouse,South,Sales,Amer-Indian-Eskimo,Wife,Female,Private,42,15024,0,119359,40,1
HS-grad,9,Married-civ-spouse,United-States,Exec-managerial,Amer-Indian-Eskimo,Wife,Female,Self-emp-inc,46,15024,0,320124,40,1
HS-grad,9,Married-civ-spouse,United-States,Other-service,Amer-Indian-Eskimo,Wife,Female,State-gov,53,0,0,105728,28,1
Bachelors,13,Married-civ-spouse,United-States,Prof-specialty,Amer-Indian-Eskimo,Wife,Female,State-gov,41,0,0,47170,48,1
11th,7,Divorced,United-States,?,Asian-Pac-Islander,Not-in-family,Female,?,65,0,0,106910,15,1
HS-grad,9,Divorced,?,?,Asian-Pac-Islander,Not-in-family,Female,?,37,0,0,122265,42,1
HS-grad,9,Divorced,China,?,Asian-Pac-Islander,Not-in-family,Female,?,33,0,0,163003,41,1
HS-grad,9,Divorced,Japan,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,45,0,1590,293691,40,1
HS-grad,9,Divorced,Japan,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,61,0,0,270056,40,1
HS-grad,9,Divorced,Vietnam,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,44,0,0,172475,40,1
Some-college,10,Divorced,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,33,0,0,192286,52,1
Some-college,10,Divorced,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,44,0,0,121781,37,1
Some-college,10,Divorced,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,49,0,0,72333,40,1
Some-college,10,Divorced,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,55,0,0,173093,40,1
Bachelors,13,Divorced,Philippines,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,39,0,0,301867,24,1
HS-grad,9,Divorced,Japan,Craft-repair,Asian-Pac-Islander,Not-in-family,Female,Private,40,0,0,306225,40,1
Some-college,10,Divorced,Japan,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,37,0,0,60722,40,1
Bachelors,13,Divorced,China,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,30,0,0,110622,40,1
10th,6,Divorced,Portugal,Machine-op-inspct,Asian-Pac-Islander,Not-in-family,Female,Private,38,0,0,197711,40,1
HS-grad,9,Divorced,Philippines,Machine-op-inspct,Asian-Pac-Islander,Not-in-family,Female,Private,37,0,0,213726,40,1
HS-grad,9,Divorced,United-States,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,47,0,0,85129,40,1
Some-college,10,Divorced,United-States,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,41,0,0,97632,32,1
HS-grad,9,Divorced,South,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Self-emp-not-inc,37,0,0,352882,70,1
HS-grad,9,Divorced,Vietnam,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Self-emp-not-inc,50,0,0,64667,60,1
Bachelors,13,Divorced,United-States,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,State-gov,32,0,0,77723,40,1
7th-8th,4,Divorced,United-States,Other-service,Asian-Pac-Islander,Not-in-family,Female,State-gov,73,0,0,74040,40,1
Masters,14,Divorced,United-States,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,State-gov,52,0,0,314627,40,1
Bachelors,13,Married-spouse-absent,Taiwan,?,Asian-Pac-Islander,Not-in-family,Female,?,28,0,0,173800,10,1
9th,5,Married-spouse-absent,China,Machine-op-inspct,Asian-Pac-Islander,Not-in-family,Female,Private,52,0,0,310045,30,1
HS-grad,9,Married-spouse-absent,Philippines,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,28,0,0,70240,40,1
HS-grad,9,Married-spouse-absent,Thailand,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,33,0,0,122612,35,1
Bachelors,13,Married-spouse-absent,Philippines,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Private,35,0,0,143589,40,1
Masters,14,Married-spouse-absent,China,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,State-gov,24,0,0,123160,10,1
Masters,14,Married-spouse-absent,China,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,State-gov,54,0,0,161334,40,1
HS-grad,9,Never-married,?,?,Asian-Pac-Islander,Not-in-family,Female,?,24,0,0,311949,45,1
Some-college,10,Never-married,Thailand,?,Asian-Pac-Islander,Not-in-family,Female,?,22,0,0,182387,12,1
Some-college,10,Never-married,United-States,?,Asian-Pac-Islander,Not-in-family,Female,?,22,0,0,177902,25,1
Bachelors,13,Never-married,Taiwan,?,Asian-Pac-Islander,Not-in-family,Female,?,30,0,0,203834,50,1
Bachelors,13,Never-married,United-States,?,Asian-Pac-Islander,Not-in-family,Female,?,30,0,0,33811,99,1
Prof-school,15,Never-married,Canada,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Federal-gov,38,99999,0,37683,57,1
Some-college,10,Never-married,Vietnam,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Local-gov,22,0,0,244408,40,1
HS-grad,9,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,66,0,0,78855,40,1
Some-college,10,Never-married,Japan,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,34,0,0,143582,35,1
Assoc-voc,11,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,28,0,0,91299,45,1
Assoc-acdm,12,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,29,0,0,77572,40,1
Assoc-acdm,12,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,34,8614,0,96483,60,1
Bachelors,13,Never-married,Japan,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,29,0,0,161478,40,1
Bachelors,13,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,23,0,0,162551,20,1
Bachelors,13,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,23,0,0,162593,40,1
Bachelors,13,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,24,0,0,162593,40,1
Bachelors,13,Never-married,Vietnam,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,22,0,0,304710,10,1
Masters,14,Never-married,Philippines,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,45,0,0,166107,40,1
HS-grad,9,Never-married,England,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,28,0,0,88419,40,1
HS-grad,9,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,29,0,0,60722,40,1
Assoc-acdm,12,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,44,0,0,297991,50,1
Bachelors,13,Never-married,Philippines,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,34,0,0,110622,40,1
Bachelors,13,Never-married,Poland,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,26,0,0,306225,40,1
Bachelors,13,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,Private,36,0,0,222294,40,1
Bachelors,13,Never-married,Haiti,Handlers-cleaners,Asian-Pac-Islander,Not-in-family,Female,Private,35,0,0,196899,50,1
HS-grad,9,Never-married,Laos,Machine-op-inspct,Asian-Pac-Islander,Not-in-family,Female,Private,44,0,0,90688,45,1
Some-college,10,Never-married,?,Machine-op-inspct,Asian-Pac-Islander,Not-in-family,Female,Private,20,0,0,285295,40,1
Preschool,1,Never-married,Laos,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,23,0,0,240049,40,1
Some-college,10,Never-married,Philippines,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,22,0,0,152744,40,1
Some-college,10,Never-married,United-States,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,21,0,0,153718,25,1
Some-college,10,Never-married,United-States,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,25,0,0,125491,34,1
Some-college,10,Never-married,Vietnam,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,23,0,0,125491,35,1
Assoc-voc,11,Never-married,Philippines,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,27,0,0,90692,40,1
Assoc-acdm,12,Never-married,Philippines,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,27,0,0,123984,35,1
Bachelors,13,Never-married,Japan,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,53,0,0,83434,21,1
Bachelors,13,Never-married,Philippines,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,49,0,0,24712,35,1
Bachelors,13,Never-married,Thailand,Other-service,Asian-Pac-Islander,Not-in-family,Female,Private,33,0,0,165235,35,1
Preschool,1,Never-married,Philippines,Priv-house-serv,Asian-Pac-Islander,Not-in-family,Female,Private,75,0,0,71898,48,1
12th,8,Never-married,Thailand,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Private,19,0,0,361341,25,1
Bachelors,13,Never-married,Philippines,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Private,26,0,0,71009,40,1
Bachelors,13,Never-married,Philippines,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Private,35,0,0,66297,40,1
Bachelors,13,Never-married,United-States,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Private,25,0,0,161478,40,1
Masters,14,Never-married,Taiwan,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Private,35,0,0,285102,40,1
Prof-school,15,Never-married,United-States,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,Private,34,0,0,110978,40,1
HS-grad,9,Never-married,United-States,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,19,0,0,227491,40,1
HS-grad,9,Never-married,United-States,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,20,0,0,227491,25,1
HS-grad,9,Never-married,United-States,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,44,0,0,81853,40,1
Some-college,10,Never-married,Philippines,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,24,0,0,73514,50,1
Some-college,10,Never-married,United-States,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,31,0,0,159979,50,1
Bachelors,13,Never-married,China,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,36,0,0,297335,50,1
Bachelors,13,Never-married,South,Sales,Asian-Pac-Islander,Not-in-family,Female,Private,26,0,0,102420,40,1
Bachelors,13,Never-married,Philippines,Tech-support,Asian-Pac-Islander,Not-in-family,Female,Private,25,0,1092,74883,40,1
Bachelors,13,Never-married,Philippines,Tech-support,Asian-Pac-Islander,Not-in-family,Female,Private,27,0,0,74883,40,1
Bachelors,13,Never-married,Philippines,Tech-support,Asian-Pac-Islander,Not-in-family,Female,Private,32,0,0,74883,40,1
Bachelors,13,Never-married,Philippines,Tech-support,Asian-Pac-Islander,Not-in-family,Female,Private,40,0,2258,287983,48,1
Bachelors,13,Never-married,United-States,Tech-support,Asian-Pac-Islander,Not-in-family,Female,Private,35,4650,0,276153,40,1
5th-6th,3,Never-married,United-States,Tech-support,Asian-Pac-Islander,Not-in-family,Female,Self-emp-not-inc,50,0,0,99894,15,1
Bachelors,13,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Not-in-family,Female,State-gov,35,2977,0,172475,45,1
Bachelors,13,Never-married,United-States,Prof-specialty,Asian-Pac-Islander,Not-in-family,Female,State-gov,44,0,0,87282,38,1
Some-college,10,Widowed,United-States,?,Asian-Pac-Islander,Not-in-family,Female,?,65,0,0,79272,6,1
Assoc-voc,11,Widowed,United-States,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Private,45,0,0,75673,40,1
5th-6th,3,Widowed,United-States,Priv-house-serv,Asian-Pac-Islander,Not-in-family,Female,Private,71,0,0,99894,75,1
HS-grad,9,Widowed,Thailand,Priv-house-serv,Asian-Pac-Islander,Not-in-family,Female,Private,47,0,0,217509,45,1
HS-grad,9,Divorced,Philippines,Adm-clerical,Asian-Pac-Islander,Other-relative,Female,Private,50,0,0,221336,40,1
HS-grad,9,Divorced,South,Other-service,Asian-Pac-Islander,Other-relative,Female,Private,30,0,0,243841,40,1
Bachelors,13,Divorced,South,Sales,Asian-Pac-Islander,Other-relative,Female,Private,36,0,0,152744,40,1
Prof-school,15,Married-civ-spouse,Philippines,Adm-clerical,Asian-Pac-Islander,Other-relative,Female,Private,40,0,0,110622,40,1
Bachelors,13,Married-civ-spouse,China,Exec-managerial,Asian-Pac-Islander,Other-relative,Female,Private,32,0,0,353994,40,1
7th-8th,4,Married-civ-spouse,China,Machine-op-inspct,Asian-Pac-Islander,Other-relative,Female,Private,28,0,0,162551,48,1
